secondsTaken,numberOfWhites,numberOfBlacks,numberOfRobots,isClassical,consensusAlgorithm,percentageOfBlackTiles,decisionRule,byzantineSwarmStyle,numberOfByzantineRobots,id
1121,10,0,10,0,pow,48,2,0,0,65
272,0,10,10,0,pow,48,2,0,0,65
123,0,10,10,0,pow,48,2,0,0,65
3620,0,10,10,1,pow,48,3,0,0,66
2166,0,10,10,1,pow,48,3,0,0,66
863,10,0,10,1,pow,48,3,0,0,66
603,10,0,10,1,pow,48,3,0,0,66
876,10,0,10,1,pow,48,3,0,0,66
699,10,0,10,1,pow,48,3,0,0,66
674,10,0,10,1,pow,48,3,0,0,66
2797,0,10,10,1,pow,48,3,0,0,66
1832,0,10,10,1,pow,48,3,0,0,66
858,10,0,10,1,pow,48,3,0,0,66
421,0,10,10,0,pow,48,3,0,0,67
771,10,0,10,0,pow,48,3,0,0,67
354,0,10,10,0,pow,48,3,0,0,67
479,0,10,10,0,pow,48,3,0,0,67
581,0,10,10,0,pow,48,3,0,0,67
726,10,0,10,0,pow,48,3,0,0,67
1148,10,0,10,0,pow,48,3,0,0,67
1450,10,0,10,0,pow,48,3,0,0,67
355,0,10,10,0,pow,48,3,0,0,67
847,10,0,10,0,pow,48,3,0,0,67
510,0,10,10,0,poi,48,3,0,0,68
346,0,10,10,0,poi,48,3,0,0,68
684,10,0,10,0,poi,48,3,0,0,68
477,0,10,10,0,poi,48,3,0,0,68
415,0,10,10,0,poi,48,3,0,0,68
804,10,0,10,0,poi,48,3,0,0,68
677,10,0,10,0,poi,48,3,0,0,68
402,0,10,10,0,poi,48,3,0,0,68
890,10,0,10,0,poi,48,3,0,0,68
724,10,0,10,0,poi,48,3,0,0,68
998,10,0,10,1,poi,48,1,0,0,69
1543,10,0,10,1,poi,48,1,0,0,69
720,10,0,10,1,poi,48,1,0,0,69
675,10,0,10,1,poi,48,1,0,0,69
781,10,0,10,1,poi,48,1,0,0,69
500,0,10,10,1,poi,48,1,0,0,69
391,0,10,10,1,poi,48,1,0,0,69
1143,10,0,10,1,poi,48,1,0,0,69
974,0,10,10,1,poi,48,1,0,0,69
696,10,0,10,1,poi,48,1,0,0,69
894,10,0,10,0,poi,48,1,0,0,70
855,10,0,10,0,poi,48,1,0,0,70
925,0,10,10,0,poi,48,1,0,0,70
495,0,10,10,0,poi,48,1,0,0,70
893,10,0,10,0,poi,48,1,0,0,70
983,10,0,10,0,poi,48,1,0,0,70
870,0,10,10,0,poi,48,1,0,0,70
642,0,10,10,0,poi,48,1,0,0,70
837,10,0,10,0,poi,48,1,0,0,70
907,10,0,10,0,poi,48,1,0,0,70
494,0,10,10,0,pow,48,1,0,0,71
1011,10,0,10,0,pow,48,1,0,0,71
567,0,10,10,0,pow,48,1,0,0,71
470,0,10,10,0,pow,48,1,0,0,71
438,0,10,10,0,pow,48,1,0,0,71
1422,10,0,10,0,pow,48,1,0,0,71
546,0,10,10,0,pow,48,1,0,0,71
845,10,0,10,0,pow,48,1,0,0,71
851,10,0,10,0,pow,48,1,0,0,71
1018,10,0,10,0,pow,48,1,0,0,71
